Name,Genus Authority Author,Genus Authority Date,Strata
Aardonyx,"A.M. Yates, M.F. Bonnan, J. Neveling, A. Chinsamy & M.G. Blackbeard",2009,
Abdarainurus,A.O. Averianov & A.V. Lopatin,2020,
Abditosaurus,"B. Vila, A. Sellés, M. Moreno-Azanza, N.L. Razzolini, A. Gil-Delgado, J.I. Canudo & À. Galobart",2022,
,"Abelisaurus: J.F. Bonaparte & F.E. Novas, 1985",,
,"Abrictosaurus: J.A. Hopson, 1975",,
,"Abrosaurus: Ouyang H, 1989",,
,"Abydosaurus: D. Chure, B.B. Britt, J.A. Whitlock & J.A. Wilson, 2010",,
,"Acantholipan: H.E. Rivera-Sylva, E. Frey, W. Stinnesbeck, G. Carbot-Chanona, I.E. Sanchez-Uribe & J.R. Guzmán-Gutiérrez, 2018",,
,,,
,"Achelousaurus: S.D. Sampson, 1995",,
,"Acheroraptor: D.C. Evans, D.W. Larson & P.J. Currie, 2013",,
,"Achillesaurus: A.G. Martinelli & E.I. Vera, 2007",,
,"Achillobator: A. Perle, M.A. Norell & J.M. Clark, 1999",,
,,,
,"Acristavus: T.A. Gates, J.R. Horner, R.R. Hanna & C.R. Nelson, 2011",,
,"Acrocanthosaurus: J.W. Stovall & W.R. Langston, 1950",,
,"Acrotholus: D.C. Evans, R.K. Schott, D.W. Larson, C.M. Brown & M.J. Ryan, 2013",,
,"Adamantisaurus: R.A. Santucci & Bertini, 2006",,
,"Adasaurus: R. Barsbold, 1983",,
,"Adelolophus: T.A. Gates, Z.A. Jinnah, C. Levitt & M.A. Getty, 2014",,
,"Adeopapposaurus: R.N. Martínez, 2009",,
Adratiklit,"S.C.R. Maidment, T.J. Raven, D. Ouarhache & P.M. Barrett",2019,Jurassic
Adynomosaurus,"A. Prieto-Márquez, V. Fondevilla, A.G. Sellés, J.R. Wagner & Á. Galobart",2018,
,"Aegyptosaurus: E. Stromer, 1932",,
,"Aeolosaurus: J.E. Powell, 1987",,
,"Aepisaurus: P. Gervais, 1852 [nomen dubium]",,
Aepyornithomimus,"Chinzorig T, Y. Kobayashi, Tsogtbaatar K, P.J. Currie, M. Watabe & R. Barsbold",2017,
,"Aerosteon: P.C. Sereno, R.N. Martínez, J.A. Wilson, D.J. Varricchio, O.A. Alcober & H.C.E. Larsson, 2008",,
,"Aetonyx: R. Broom, 1911 [JSS → Massospondylus]",,
Afromimus,P.C. Sereno,2017,
,"Afrovenator: P.C. Sereno, J.A. Wilson, H.C.E. Larsson, D.B. Dutheil & H-D Sues, 1994",,
,"Agathaumas: E.D. Cope, 1872 [nomen dubium; PSS → Nedoceratops, Torosaurus or Triceratops]",,
,"Agilisaurus: Peng G, 1990",,
,"Agnosphitys: Fraser, Padian, Walkden & Davis, 2002",,
,"Agrosaurus: H.G. Seeley, 1891 [JSS → Thecodontosaurus]",,
,"Agujaceratops: S.G. Lucas, R.M. Sullivan & A.P. Hunt, 2006",,
,"Agustinia: J.F. Bonaparte, 1999",,
,"Ahshislepelta: M.E. Burns & R.M. Sullivan, 2011",,
,"Airakoraptor: A. Perle, M.A. Norell & J.M. Clark, 1999 [nomen nudum]",,
Ajancingenia,"J. Easter, 2013",,
,"Ajkaceratops: Ösi A, R.J. Butler & D.B. Weishampel, 2010",,
Ajnabia,"N.R. Longrich, X.P. Suberbiola, R.A. Pyron & N-E Jalil",2020,
Akainacephalus,J.P. Wiersma & R.B. Irmis,2018,
,"Alamosaurus: Gilmore, 1922",,
,"Alamotyrannus: S.G. Dalman & S.G. Lucas, 2013 [nomen nudum; PSS → Tyrannosaurus]",,
,,,
,"Alaskacephale: R.M. Sullivan, 2006",,
,"Albalophosaurus: T. Ohashi & P.M. Barrett, 2009",,
,"Albertaceratops: M.J. Ryan, 2007",,
,"Albertadromeus: C.M. Brown, D.C. Evans, M.J. Ryan & A.P. Russell, 2013",,
Albertavenator,"D.C. Evans, T.M. Cullen, D.W. Larson & A. Rego",2017,
,"Albertonykus: N.R. Longrich & P.J. Currie, 2008",,
,"Albertosaurus: H.F. Osborn, 1905",,
,"Albinykus: S.J. Nesbitt, J.A. Clarke, A.H. Turner & M.A. Norell, 2011",,
Alcmonavis,"O.W.M. Rauhut, H. Tischlinger & C. Foth",2019,
Alcovasaurus,P.M. Galton & K. Carpenter,2016,
,"Alectrosaurus: Gilmore, 1933",,
,"Aletopelta: Ford & J.I. Kirkland, 2001",,
,"Algoasaurus: R. Broom, 1904 [nomen dubium]",,
